"","id","name.wikitag","fraction","fraction.id","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"BB.1","/wiki/Wolfgang_Birthler-bb-1","/wiki/Wolfgang_Birthler","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",1990-10-26,1994-10-10,"bb",1
"BB.2","/wiki/Peter-Michael_Diestel-bb-1","/wiki/Peter-Michael_Diestel","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",1990-10-26,1992-05-08,"bb",1
"BB.3","/wiki/Dieter_Helm-bb-1","/wiki/Dieter_Helm","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",1992-05-24,1994-10-10,"bb",1
"BB.4","/wiki/Lothar_Bisky-bb-1","/wiki/Lothar_Bisky","PDS-LL","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",1990-10-26,1994-10-10,"bb",1
"BB.5","/wiki/G%C3%BCnter_Nooke-bb-1","/wiki/G%C3%BCnter_Nooke","Bündnis 90","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",1990-10-26,1994-10-10,"bb",1
"BB.6","/wiki/Rainer_Siebert-bb-1","/wiki/Rainer_Siebert","FDP","FDP","Fraktionsvorsitz","Fraktionsvorsitz",1990-10-26,1992-09-14,"bb",1
"BB.7","/wiki/Siegfried_Lietzmann-bb-1","/wiki/Siegfried_Lietzmann","FDP","FDP","Fraktionsvorsitz","Fraktionsvorsitz",1992-09-15,1994-10-10,"bb",1
"BB.8","/wiki/Wolfgang_Birthler-bb-2","/wiki/Wolfgang_Birthler","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",1994-10-11,1999-09-28,"bb",2
"BB.9","/wiki/Peter_Wagner_(Politiker)-bb-2","/wiki/Peter_Wagner_(Politiker)","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",1994-10-11,1997-09-07,"bb",2
"BB.10","/wiki/Wolfgang_Hackel-bb-2","/wiki/Wolfgang_Hackel","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",1997-09-23,1999-09-28,"bb",2
"BB.11","/wiki/Lothar_Bisky-bb-2","/wiki/Lothar_Bisky","PDS","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",1994-10-11,1999-09-28,"bb",2
"BB.12","/wiki/Wolfgang_Klein_(Politiker)-bb-2","/wiki/Wolfgang_Klein_(Politiker)","SPD","SPD","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",2
"BB.13","/wiki/Dierk_Homeyer-bb-2","/wiki/Dierk_Homeyer","CDU","CDU","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",2
"BB.14","/wiki/Heinz_Vietze-bb-2","/wiki/Heinz_Vietze","PDS","LINKE","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",2
"BB.15","/wiki/Wolfgang_Birthler-bb-3","/wiki/Wolfgang_Birthler","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",1999-09-29,1999-10-12,"bb",3
"BB.16","/wiki/Gunter_Fritsch-bb-3","/wiki/Gunter_Fritsch","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",1999-10-13,2004-10-12,"bb",3
