"","id","name.wikitag","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"BB.1","/wiki/Herbert_Knoblich-bb-1","/wiki/Herbert_Knoblich","Landtagspräsident/in","Landtagspräsident/in",1990-10-26,1994-10-10,"bb",1
"BB.2","/wiki/Karl-Heinz_Kretschmer-bb-1","/wiki/Karl-Heinz_Kretschmer","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1990-10-26,1991-09-24,"bb",1
"BB.3","/wiki/Martin_Habermann-bb-1","/wiki/Martin_Habermann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1991-09-25,1994-10-10,"bb",1
"BB.4","/wiki/Herbert_Knoblich-bb-2","/wiki/Herbert_Knoblich","Landtagspräsident/in","Landtagspräsident/in",1994-10-11,1999-09-28,"bb",2
"BB.5","/wiki/Martin_Habermann-bb-2","/wiki/Martin_Habermann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1994-10-11,1999-09-28,"bb",2
"BB.6","/wiki/Herbert_Knoblich-bb-3","/wiki/Herbert_Knoblich","Landtagspräsident/in","Landtagspräsident/in",1999-09-29,2004-10-12,"bb",3
"BB.7","/wiki/Martin_Habermann-bb-3","/wiki/Martin_Habermann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1999-09-29,2004-10-12,"bb",3
"BB.8","/wiki/Gunter_Fritsch-bb-4","/wiki/Gunter_Fritsch","Landtagspräsident/in","Landtagspräsident/in",2004-10-13,2009-10-20,"bb",4
"BB.9","/wiki/Lothar_Bisky-bb-4","/wiki/Lothar_Bisky","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2004-10-13,2005-10-20,"bb",4
"BB.10","/wiki/Gerlinde_Stobrawa-bb-4","/wiki/Gerlinde_Stobrawa","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2005-11-09,2009-10-20,"bb",4
"BB.11","/wiki/Gunter_Fritsch-bb-5","/wiki/Gunter_Fritsch","Landtagspräsident/in","Landtagspräsident/in",2009-10-21,2014-10-07,"bb",5
"BB.12","/wiki/Gerrit_Gro%C3%9Fe-bb-5","/wiki/Gerrit_Gro%C3%9Fe","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2009-12-16,2014-10-07,"bb",5
"BB.13","/wiki/Gerlinde_Stobrawa-bb-5","/wiki/Gerlinde_Stobrawa","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2009-10-21,2009-11-30,"bb",5
"BB.14","/wiki/Britta_Stark-bb-6","/wiki/Britta_Stark","Landtagspräsident/in","Landtagspräsident/in",2014-10-08,2019-09-24,"bb",6
"BB.15","/wiki/Dieter_Dombrowski-bb-6","/wiki/Dieter_Dombrowski","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2014-10-08,2019-09-24,"bb",6
"BE.1","/wiki/Hanna-Renate_Laurien-be-12","/wiki/Hanna-Renate_Laurien","Landtagspräsident/in","Landtagspräsident/in",1991-01-11,1995-11-29,"be",12
"BE.2","/wiki/Marianne_Brinckmeier-be-12","/wiki/Marianne_Brinckmeier","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1991-01-11,1995-11-29,"be",12
"BE.3","/wiki/Reinhard_F%C3%BChrer-be-12","/wiki/Reinhard_F%C3%BChrer","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1991-01-11,1995-11-29,"be",12
"BE.4","/wiki/Herwig_Haase-be-13","/wiki/Herwig_Haase","Landtagspräsident/in","Landtagspräsident/in",1995-11-30,1999-11-17,"be",13
"BE.5","/wiki/Marianne_Brinckmeier-be-13","/wiki/Marianne_Brinckmeier","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1995-11-30,1999-11-17,"be",13
"BE.6","/wiki/Reinhard_F%C3%BChrer-be-13","/wiki/Reinhard_F%C3%BChrer","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1995-11-30,1999-11-17,"be",13
"BE.7","/wiki/Reinhard_F%C3%BChrer-be-14","/wiki/Reinhard_F%C3%BChrer","Landtagspräsident/in","Landtagspräsident/in",1999-11-18,2001-11-28,"be",14
"BE.8","/wiki/Walter_Momper-be-14","/wiki/Walter_Momper","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1999-11-18,2001-11-28,"be",14
"BE.9","/wiki/Peter_Luther_(Politiker)-be-14","/wiki/Peter_Luther_(Politiker)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1999-11-18,2001-11-28,"be",14
"BE.10","/wiki/Walter_Momper-be-15","/wiki/Walter_Momper","Landtagspräsident/in","Landtagspräsident/in",2001-11-29,2006-10-25,"be",15
"BE.11","/wiki/Christoph_St%C3%B6lzl-be-15","/wiki/Christoph_St%C3%B6lzl","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2001-11-29,2006-10-25,"be",15
